,champion,race,type,region,bio
1,Aatrox,"RACE
DARKIN","RÔLE
COMBATTANT","RÉGION
RUNETERRA","Autrefois, Aatrox et ses frères étaient honorés pour avoir défendu Shurima contre le Néant. Mais ils finirent par devenir une menace plus grande encore pour Runeterra : la ruse et la sorcellerie furent employées pour les battre. Cependant, après des siècles d'emprisonnement, Aatrox fut le premier à retrouver sa liberté, en corrompant et transformant les mortels assez stupides pour tenter de s'emparer de l'arme magique qui contenait son essence. Désormais en possession d'un corps qu'il a approximativement transformé pour rappeler son ancienne forme, il arpente Runeterra en cherchant à assouvir sa vengeance apocalyptique."
2,Ahri,"RACE
VASTAYA","RÔLE
MAGE","RÉGION
IONIA","Connectée à la magie du royaume spirituel, Ahri est une mystérieuse Vastaya aux traits de renard qui cherche sa place dans le monde. Devenue malgré elle une prédatrice dotée d'empathie en découvrant les humains, elle préfère manipuler les émotions de sa proie avant de s'emparer de son essence vitale. Elle reçoit ainsi des fragments de souvenirs et un aperçu de chaque âme qu'elle consume."
3,Akali,Unknown,"RÔLE
ASSASSIN","RÉGION
IONIA","Ayant abandonné l'Ordre Kinkou et le titre de Poing des ombres, Akali combat aujourd'hui seule, prête à devenir l'arme mortelle dont son peuple a besoin. Bien qu'elle n'oublie rien de tout ce que son maître Shen lui a enseigné, elle a juré de défendre Ionia contre ses ennemis, une élimination après l'autre. Akali tue sans faire de bruit, mais son message est fort et clair : craignez l'assassin sans maître."
4,Akshan,Unknown,"RÔLE
TIREUR","RÉGION
SHURIMA","Se jouant du danger, Akshan combat le mal sans jamais se départir de son charisme (il ne faut jamais sous-estimer l'importance de la cape) et de sa droiture. Il est passé maître dans l'art du combat furtif, ce qui lui permet d'échapper au regard de ses ennemis et de réapparaître lorsqu'ils s'y attendent le moins. À l'aide de son sens aigu de la justice et d'une arme légendaire défiant la mort elle-même, il redresse les torts des nombreux vauriens de Runeterra. Sa règle d'or : « ne sois pas crapuleux. »"
5,Alistar,Unknown,"RÔLE
TANK","RÉGION
RUNETERRA","Alistar est un guerrier redoutable cherchant à se venger de l'empire noxien qui a détruit son clan. Bien qu'il ait été réduit en esclavage et forcé de vivre une vie de gladiateur, sa volonté de fer lui a permis de ne pas succomber à la folie bestiale qui le menaçait. Maintenant qu'il a retrouvé la liberté, il combat au nom des faibles et des opprimés. Ses seules armes sont ses cornes, ses sabots et ses poings."
6,Amumu,Unknown,"RÔLE
TANK","RÉGION
SHURIMA","La légende veut qu'Amumu soit une âme solitaire et mélancolique de la Shurima antique et qu'il parcoure le monde à la recherche d'un ami. Condamné par une malédiction à rester seul à jamais, il provoque la mort et la ruine à chaque geste d'affection. Ceux qui prétendent l'avoir vu le décrivent comme un cadavre vivant, petit de taille, enveloppé dans d'effrayants bandages. Il a inspiré bien des mythes, des chansons et des légendes, transmis de génération en génération pendant si longtemps qu'il est désormais impossible de démêler le vrai du faux."
7,Anivia,Unknown,"RÔLE
MAGE","RÉGION
FRELJORD","Anivia est un esprit ailé bienveillant qui subit des cycles sans fin de vie, de mort et de renaissance pour protéger Freljord. Demi-déesse née de la glace la plus froide et des vents les plus coupants, elle utilise ses pouvoirs élémentaires contre quiconque prétend troubler la paix de sa terre natale. Anivia guide et protège les tribus du Nord, qui la vénèrent comme un symbole d'espoir et la promesse de grands changements. Elle combat de tout son être, sachant que son sacrifice fera vivre sa légende et qu'elle renaîtra dans un lendemain nouveau."
8,Annie,Unknown,"RÔLE
MAGE","RÉGION
RUNETERRA","Dangereuse, incroyablement précoce, Annie est une enfant mage dotée d'extraordinaires pouvoirs de pyrokinésie. Même à l'ombre des montagnes du nord de Noxus, sa magie est un cas unique. Son affinité naturelle avec le feu se manifesta dès sa prime enfance à travers des explosions émotionnelles imprévisibles, même si elle apprit rapidement à contrôler ces éclats. Parmi ses jeux favoris, elle aime invoquer son bien-aimé ours en peluche, Tibbers, sous la forme d'un protecteur enflammé. Perdue dans l'innocence perpétuelle de l'enfance, Annie sautille dans les forêts obscures, à la recherche de quelqu'un avec qui jouer."
9,Alune,Unknown,"RÔLE
TIREUR","RÉGION
TARGON","Émergeant des ombres au clair de lune, Aphelios abat ceux qui voudraient anéantir sa foi sans un mot ; ses armes et sa précision mortelle parlent pour lui. Bien qu'animé par un poison qui le rend muet, il est guidé par sa sœur, Alune, qui depuis son lointain temple sacré lui confère un arsenal d'armes en pierre de lune. Tant que la lune brillera dans le ciel, Aphelios ne sera jamais seul."
10,Ashe,Unknown,"RÔLE
TIREUR","RÉGION
FRELJORD","Chef de guerre sublimé de la tribu des Avarosans, Ashe est à la tête de la plus vaste horde des terres du nord. Stoïque, intelligente et idéaliste, mais mal à l'aise dans son rôle de leader, elle puise dans la magie ancestrale de sa lignée pour manier un arc de glace pure. Soutenue par son peuple qui voit en elle la réincarnation de la légendaire héroïne Avarosa, Ashe cherche à unifier Freljord en reprenant les terres tribales."
11,Sol,Unknown,"RÔLE
MAGE","RÉGION
RUNETERRA","Autrefois, Aurelion Sol façonnait des merveilles dont il parsemait le vide infini du royaume céleste. Mais les Manifestations de Targon se jouèrent de lui et lui arrachèrent les secrets d'un soleil de sa création. Son immense pouvoir fut canalisé dans des dieux-guerriers immortels pour protéger le monde apparemment insignifiant de Runeterra. Désireux de redevenir le forgeron stellaire qu'il était, Aurelion Sol n'hésitera pas à arracher les étoiles de leur ciel nocturne si c'est là le prix à payer pour regagner sa liberté."
12,Azir,Unknown,"RÔLE
MAGE","RÉGION
SHURIMA","Azir fut l'empereur mortel de Shurima en des temps très lointains, un homme fier dressé au bord de l'immortalité. Son orgueil lui valut d'être trahi et assassiné à l'heure de son triomphe ; mais des millénaires se sont écoulés et il revient sous la forme d'un être transfiguré à l'immense puissance. Sa cité ensevelie ayant ressurgi des sables, Azir cherche à rendre sa gloire passée à Shurima."
13,Ryze,Unknown,"RÔLE
SUPPORT","RÉGION
RUNETERRA","Voyageur d'au-delà des étoiles, Bard est un messager des bons augures qui combat pour maintenir l'équilibre entre la création et l'indifférence du chaos. Dans tout Runeterra, sa mystérieuse nature inspire des chants qui ne sont d'accord que sur un point : le vagabond cosmique est attiré par les reliques dotées d'un grand pouvoir magique. Accompagné par un chœur joyeux de Meeps, il n'a d'actions que bénéfiques, même s'il a sa propre manière, un peu étrange, de servir le bien."
14,Blitzcrank,Unknown,"RÔLE
TANK","RÉGION
ZAUN","Blitzcrank, colosse de métal poli, de vapeur et d'électricité crépitante, patrouille inlassablement les rues de Zaun dans le but d'améliorer la qualité de vie dans la ville souterraine et d'aider ceux dans le besoin. Conçu pour résister aux environnements les plus pollués et dangereux de Zaun et pour en traiter les déchets toxiques, il a dépassé les limites de sa programmation originale grâce au génie de son inventeur et au mystérieux pouvoir de l'Hextech."
15,Brand,Unknown,"RÔLE
MAGE","RÉGION
RUNETERRA","Autrefois membre d'une tribu de Freljord, Kegan Rodhe est devenu l'être que l'on connaît sous le nom de Brand à force de convoiter des pouvoirs toujours plus grands. Alors qu'il recherchait l'une des légendaires Runes telluriques, Kegan trahit ses compagnons et s'en empara ; en un instant, son âme fut consumée par un brasier qui le changea à jamais. Désormais animé d'un feu inextinguible, Brand parcourt Valoran en quête d'autres runes, jurant vengeance pour des trahisons qu'aucun mortel n'aurait pu subir au cours d'une dizaine de vies."
16,Braum,Unknown,"RÔLE
SUPPORT","RÉGION
FRELJORD","Doté de biceps énormes, et d'un cœur plus grand encore, Braum est un héros sublimé que tout Freljord admire. Lors de tous les banquets au nord de Frostheld, on rend hommage à sa force légendaire. On raconte qu'il a abattu une forêt entière de chênes en une seule nuit, ou encore qu'il a réduit en miettes une montagne à coups de poing. Armé de son bouclier, une porte enchantée forgée en des temps anciens, Braum parcourt le Nord gelé en protecteur enjoué, vient en aide aux personnes vulnérables et travaille à instaurer la paix dont il rêve à Freljord."
17,Caitlyn,Unknown,"RÔLE
TIREUR","RÉGION
PILTOVER","Caitlyn est la plus célèbre gardienne de la paix à Piltover, mais elle est aussi la plus apte à débarrasser la ville de ses criminels les plus insaisissables. Elle fait souvent équipe avec Vi, son calme faisant contrepoids à la fougue de sa partenaire. Bien qu'elle porte un fusil Hextech unique en son genre, la meilleure arme de Caitlyn reste son intelligence ; elle invente en effet des pièges élaborés pour attraper les bandits qui auraient l'audace d'agir dans la Cité du progrès."
18,Camille,Unknown,"RÔLE
COMBATTANT","RÉGION
PILTOVER","Transformée en arme pour agir en dehors des limites de la loi, Camille est le principal défenseur du clan Ferros, un agent d'élite élégant qui contribue à faire fonctionner correctement la machine de Piltover et son ombre zaunienne. Son adaptabilité et sa précision sont si élevées qu'une technique maladroite est pour elle une honte qu'il convient d'éradiquer. Dotée d'un esprit aussi affûté que ses lames, Camille recherche la supériorité par l'optimisation Hextech du corps, au point que certains se demandent si elle n'est pas désormais plus machine que femme."
19,Cassiopeia,Unknown,"RÔLE
MAGE","RÉGION
NOXUS","Cassiopeia est une créature meurtrière qui excelle dans l'art de la manipulation. Elle était la plus jeune et la plus belle des filles de la famille noxienne Du Couteau, mais le jour où elle s'aventura dans les cryptes de Shurima en quête d'un pouvoir antique, le venin d'un gardien la transforma en un prédateur reptilien. Aussi rusée qu'agile, Cassiopeia se faufile désormais dans les ombres de la nuit, pétrifiant ses ennemis d'un simple regard."
20,Cho'Gath,Unknown,"RÔLE
TANK","RÉGION
LE NÉANT","Lorsque Cho'Gath débarqua sous la lumière éclatante du soleil de Runeterra, il fut immédiatement pris d'une faim insatiable. Incarnation parfaite de la volonté du Néant de dévorer toute forme de vie, le corps complexe de Cho'Gath convertit rapidement la matière qu'il ingurgite pour accroître sa masse musculaire et rendre sa carapace aussi dure que du diamant. Et quand grandir n'est pas sa priorité immédiate, ce monstre du Néant peut recracher de la matière sous forme de piques effilées afin d'embrocher sa proie... et de la garder pour un prochain festin."
21,Corki,Unknown,"RÔLE
TIREUR","RÉGION
BANDLE","Il y a deux choses que Corki, le pilote yordle, aime plus que tout au monde : les sensations de vol et sa fantastique moustache... mais pas nécessairement dans cet ordre. Après avoir quitté Bandle, il s'installa à Piltover, où il tomba amoureux des merveilleuses machines qu'il y trouva. Il consacra tout son temps au développement d'engins volants, tout en menant une unité de défense aérienne composée de pilotes aguerris : les Serpents volants. Serein même sous le feu ennemi, Corki patrouille dans l'espace aérien de sa patrie d'adoption, et il ne rencontre jamais le moindre problème qu'un bon gros missile ne puisse résoudre."
22,Darius,Unknown,"RÔLE
COMBATTANT","RÉGION
NOXUS","Il n'est pas de plus grand symbole de la puissance de Noxus que Darius, le guerrier le plus craint et le plus endurci de la nation. D'origine modeste, celui qui s'est élevé jusqu'à devenir la Main de Noxus pourfend aujourd'hui les ennemis de l'empire, dont certains sont eux-mêmes des Noxiens. Il ne doute jamais de la justesse de sa cause et ne montre pas la moindre hésitation lorsque sa hache est levée. Ceux qui s'opposent au commandant de la Légion Trifarian ne doivent s'attendre à aucune pitié."
23,Diana,Unknown,"RÔLE
COMBATTANT","RÉGION
TARGON","Armée de son croissant de lune et vêtue d'une armure étincelante évoquant les reflets de la nuit sur un paysage enneigé, Diana incarne la puissance de la lune. L'essence d'une Manifestation venue d'au-delà des plus hauts sommets de Targon imprègne Diana : plus tout à fait humaine, elle lutte pour comprendre sa puissance et son rôle en ce monde."
24,Mundo,Unknown,"RÔLE
COMBATTANT","RÉGION
ZAUN","Totalement fou, porté tragiquement sur l'homicide, horriblement violet, Dr. Mundo est la principale raison pour laquelle les citoyens de Zaun restent calfeutrés chez eux les nuits les plus sombres. Désormais médecin autoproclamé, il était autrefois un patient dans l'asile le plus sinistre de Zaun. Après avoir « soigné » tout le personnel de l'hôpital, Dr. Mundo installa son cabinet dans la salle où on le traitait auparavant et il commença à imiter les procédures immorales qu'il avait si souvent subies lui-même. Avec une pharmacie pleine et une absence totale de connaissances médicales, il devient plus monstrueux à chaque injection et il terrifie les « patients » qui ont le malheur de se trouver sous son bistouri."
25,Draven,Unknown,"RÔLE
TIREUR","RÉGION
NOXUS","À Noxus, de puissants guerriers, les « arénaires », s'affrontent dans des jeux mortels pour divertir le public. Le sang y coule à foison et leurs forces y sont éprouvées, mais aucun d'entre eux n'a jamais été aussi célèbre que Draven. Cet ancien soldat découvrit que le public appréciait particulièrement son sens du spectacle, sans parler de son habileté avec des haches tournoyantes. Épris de sa propre perfection, Draven terrasse tous ses adversaires pour s'assurer que son nom continue de résonner dans les arènes de l'empire."
26,Ekko,Unknown,"RÔLE
ASSASSIN","RÉGION
ZAUN","Jeune prodige des rues mal famées de Zaun, Ekko manipule le temps pour renverser toute situation dangereuse à son avantage. En utilisant sa propre invention, la clepsydre-zéro, il explore les différents possibles de la réalité pour sculpter des moments parfaits. Bien qu'il aime sa liberté, lorsque ses amis sont menacés, il est prêt à tout pour les défendre. Pour quiconque ne le connaît pas, Ekko semble toujours accomplir l'impossible, et du premier coup."
27,Elise,Unknown,"RÔLE
MAGE","RÉGION
ÎLES OBSCURES","Elise est un prédateur mortel qui vit dans un palais reclus et obscur, au plus profond de la plus vieille ville de Noxus. C'était autrefois la maîtresse d'une Maison noble toute-puissante, jusqu'à ce que la morsure d'un maléfique dieu araignée la transforme en un être aussi magnifique qu'inhumain : une créature arachnéenne qui tisse sa toile pour piéger ses proies. Elise se repaît désormais des innocents et peu sont ceux qui peuvent résister à sa séduction."
28,Evelynn,Unknown,"RÔLE
ASSASSIN","RÉGION
RUNETERRA","Dans les sombres failles de Runeterra, le démon nommé Evelynn cherche sa prochaine victime. Elle attire sa proie en se faisant passer pour une femme voluptueuse, et dès que sa cible succombe à ses charmes, Evelynn révèle sa véritable nature. Elle inflige alors à sa victime des tourments indicibles et se repaît de sa douleur. Pour un démon, ce ne sont que des plaisirs innocents. Aux yeux du reste de Runeterra, ce sont des contes terrifiants, qui rappellent les dangers du désir et de la luxure."
29,Ezreal,Unknown,"RÔLE
TIREUR","RÉGION
PILTOVER","Aventurier audacieux, doué sans le savoir pour les arts magiques, Ezreal poursuit ses expéditions dans les catacombes oubliées, se bat avec d'antiques malédictions et contourne avec aisance les obstacles les plus impossibles. Son courage et son panache sont sans borne, et il préfère improviser son salut dans les situations critiques, avec pour armes principales sa vivacité d'esprit et son gantelet mystique shurimien, qu'il utilise pour déchaîner de puissants projectiles arcaniques. Une chose est sûre : quand Ezreal est dans les parages, les problèmes ne sont pas loin. Et ils sont partout. Absolument partout."
30,inconnue,Unknown,"RÔLE
MAGE","RÉGION
RUNETERRA","Quelque chose s'est éveillé à Runeterra. Quelque chose d'ancien. Quelque chose de terrible. L'horreur intemporelle connue sous le nom de Fiddlesticks arpente les frontières des civilisations mortelles, attirée dans les régions en proie à la paranoïa, où elle se repaît de ses victimes terrorisées. Armée d'une faux ébréchée, la créature décharnée moissonne la peur elle-même et fait voler en éclats l'esprit de ceux qui ont eu la malchance de lui survivre. Prenez garde aux cris des corbeaux et aux chuchotements de la silhouette qui vous paraît humaine… car Fiddlesticks est de retour."
31,Fiora,Unknown,"RÔLE
COMBATTANT","RÉGION
DEMACIA","Fiora est la duelliste la plus redoutée de Valoran : elle est connue pour ses manières brusques et sa ruse politique autant que pour la rapidité de sa rapière. Née au sein de la famille Laurent de Demacia, Fiora a pris le contrôle de la Maison à son père dans les remous d'un scandale qui faillit la détruire. Désormais, elle se consacre à redonner aux Laurent la place qui leur revient parmi les grands noms du royaume."
32,Fizz,Unknown,"RÔLE
ASSASSIN","RÉGION
RUNETERRA","Fizz est un yordle amphibie qui vit dans les récifs qui entourent Bilgewater. Il essaie souvent de récupérer et de rendre les tributs que lancent dans l'océan les capitaines superstitieux, mais même le plus dessalé des marins n'est pas assez arrogant pour essayer de le tromper. On raconte bien des histoires sur ceux qui ont sous-estimé son humeur changeante... Souvent confondu avec un esprit océanique capricieux, il semble capable de commander aux créatures des profondeurs et n'aime rien tant que confondre alliés comme ennemis."
33,Galio,Unknown,"RÔLE
TANK","RÉGION
DEMACIA","Près de la Grande cité de Demacia, le colosse de pierre Galio monte une garde attentive. Érigé comme un rempart contre les mages ennemis, il reste souvent immobile pendant des décennies, jusqu'à ce que l'apparition de puissants flux magiques le ramène à la vie. Une fois éveillé, Galio profite de chaque seconde d'existence ; il s'enivre des frissons du combat et de l'honneur trop rare de défendre ses compatriotes. Mais ses triomphes ont toujours un arrière-goût amer, car la magie qu'il éradique est également la sève qui le fait vivre, et chaque victoire le renvoie au sommeil."
34,Gangplank,Unknown,"RÔLE
COMBATTANT","RÉGION
BILGEWATER","Aussi imprévisible que brutal, le roi des pillards déchu connu sous le nom de Gangplank est partout redouté. Il régnait autrefois sur la ville portuaire de Bilgewater et, bien que ce temps soit révolu, certains pensent que cela l'a rendu plus dangereux encore. Gangplank préférerait engloutir une fois de plus Bilgewater dans le sang plutôt que de laisser quelqu'un d'autre s'en emparer. Il possède aujourd'hui assez de pistolets, de sabres et de barils de poudre pour prétendre récupérer ce qu'il a perdu."
35,Garen,Unknown,"RÔLE
COMBATTANT","RÉGION
DEMACIA","Fier et noble soldat, Garen combat à la tête du Détachement hardi. Héritier des Crownguard, la famille chargée de défendre Demacia et ses idéaux, il est apprécié par ses compatriotes et respecté par ses ennemis. Équipé d'une armure résistante à la magie et d'une épée large, Garen affronte sans faillir les mages et les sorciers dans un véritable tourbillon d'acier."
